order_id,customer_id,order_date,amount
1,101,11/24/2025,2728
2,101,1/13/2025,4018
3,101,5/21/2025,3001
4,101,4/25/2025,2785
5,101,2/22/2025,3885
6,101,10/7/2025,2678
7,101,10/30/2025,3364
8,101,1/17/2025,2561
9,101,2/17/2025,2947
10,101,4/30/2025,3534
11,101,11/5/2025,2554
12,101,10/15/2025,2907
13,102,11/29/2025,2136
14,102,10/7/2025,1559
15,103,4/23/2025,2119
16,103,10/29/2025,1769
17,103,1/4/2025,2754
18,103,3/23/2025,2629
19,103,8/5/2025,1896
20,103,5/23/2025,1518
21,103,4/21/2025,2763
22,103,6/22/2025,1409
23,104,2/17/2025,1478
24,104,2/19/2025,1435
25,104,6/26/2025,1936
26,104,5/16/2025,2352
27,104,1/23/2025,2194
28,104,8/24/2025,1798
29,105,3/5/2025,1475
30,105,2/10/2025,1830
31,105,5/31/2025,2398
32,105,11/18/2025,1966
33,105,7/5/2025,1882
34,105,4/9/2025,2142
35,105,2/5/2025,793
36,105,12/5/2025,1166
37,105,5/29/2025,863
38,105,4/30/2025,2474
39,106,2/21/2025,1478
40,106,5/23/2025,1628
41,106,11/22/2025,2408
42,106,7/6/2025,1033
43,106,7/9/2025,1427
44,107,4/18/2025,2072
45,107,5/17/2025,2137
46,107,12/16/2025,2027
47,107,2/6/2025,1947
48,107,11/22/2025,1050
49,107,10/1/2025,2193
50,107,5/6/2025,1034
51,108,8/25/2025,1477
52,108,5/19/2025,2010
53,108,12/19/2025,1840
54,108,4/23/2025,2102
55,109,6/16/2025,428
56,110,4/28/2025,3483
57,110,1/17/2025,3448
58,110,6/11/2025,2621
59,110,5/18/2025,1935
60,110,4/19/2025,3670
61,110,10/18/2025,3594
62,110,6/11/2025,2235
63,110,12/2/2025,2822
64,110,7/22/2025,3611
65,110,11/26/2025,2739
66,110,3/15/2025,2342
67,110,3/13/2025,2305
68,110,10/15/2025,2903
69,110,5/15/2025,3329
70,110,10/27/2025,2677
